date,nav,div
2018-07-03,12380,0
2018-07-04,12316,0
2018-07-05,12319,0
2018-07-06,12449,0
2018-07-09,12529,0
2018-07-10,12697,0
2018-07-11,12711,0
2018-07-12,12726,0
2018-07-13,12902,0
2018-07-17,12871,0
2018-07-18,12957,0
2018-07-19,12967,0
2018-07-20,12907,0
2018-07-23,12739,0
2018-07-24,12761,0
2018-07-25,12837,0
2018-07-26,12854,0
2018-07-27,12871,0
2018-07-30,12831,0
2018-07-31,12772,0
2018-08-01,12919,0
2018-08-02,12870,0
2018-08-03,12872,0
2018-08-06,12859,0
2018-08-07,12898,0
2018-08-08,12963,0
2018-08-09,12897,0
2018-08-10,12879,0
2018-08-13,12695,0
2018-08-14,12672,0
2018-08-15,12787,0
2018-08-16,12580,0
2018-08-17,12710,0
2018-08-20,12721,0
2018-08-21,12711,0
2018-08-22,12785,0
2018-08-23,12848,0
2018-08-24,12896,0
2018-08-27,12947,0
2018-08-28,13060,0
2018-08-29,13063,0
2018-08-30,13194,0
2018-08-31,13046,0
2018-09-03,12980,0
2018-09-04,12995,0
2018-09-05,12999,0
2018-09-06,12909,0
2018-09-07,12767,0
2018-09-10,12778,0
2018-09-11,12873,0
2018-09-12,12925,0
2018-09-13,12940,0
2018-09-14,13082,0
2018-09-18,13014,0
2018-09-19,13131,0
2018-09-20,13165,0
2018-09-21,13318,0
2018-09-25,13321,0
2018-09-26,13318,0
2018-09-27,13288,0
2018-09-28,13374,0
2018-10-01,13382,0
2018-10-02,13422,0
2018-10-03,13335,0
2018-10-04,13432,0
2018-10-05,13293,0
2018-10-09,13022,0
2018-10-10,13032,0
2018-10-11,12600,0
2018-10-12,12346,0
2018-10-15,12432,0
2018-10-16,12383,0
2018-10-17,12670,0
2018-10-18,12666,0
2018-10-19,12469,0
2018-10-22,12489,0
2018-10-23,12461,0
2018-10-24,12331,0
2018-10-25,11981,0
2018-10-26,12178,0
2018-10-29,11962,0
2018-10-30,11986,0
2018-10-31,12195,0
2018-11-01,12294,0
2018-11-02,12439,0
2018-11-05,12436,0
2018-11-06,12477,0
2018-11-07,12533,0
2018-11-08,12795,0
2018-11-09,12807,0
2018-11-12,12681,0
2018-11-13,12425,0
2018-11-14,12483,0
2018-11-15,12370,0
2018-11-16,12444,0
2018-11-19,12381,0
2018-11-20,12215,0
2018-11-21,12019,0
2018-11-22,12119,0
2018-11-26,12038,0
2018-11-27,12254,0
2018-11-28,12285,0
2018-11-29,12492,0
2018-11-30,12474,0
2018-12-03,12542,0
2018-12-04,12685,0
2018-12-05,12287,0
2018-12-06,12252,0
2018-12-07,12132,0
2018-12-10,11930,0
2018-12-11,11933,0
2018-12-12,12006,0
2018-12-13,12106,0
2018-12-14,12123,0
2018-12-17,11910,0
2018-12-18,11643,0
2018-12-19,11593,0
2018-12-20,11487,0
2018-12-21,11204,0
2018-12-25,10679,0
2018-12-26,10740,0
2018-12-27,11135,0
2018-12-28,11173,0
2019-01-04,10752,0
2019-01-07,11186,0
2019-01-08,11287,0
2019-01-09,11380,0
2019-01-10,11414,0
2019-01-11,11481,0
2019-01-15,11412,0
2019-01-16,11508,0
2019-01-17,11591,0
2019-01-18,11702,0
2019-01-21,11882,0
2019-01-22,11881,0
2019-01-23,11721,0
2019-01-24,11747,0
2019-01-25,11779,0
2019-01-28,11857,0
2019-01-29,11749,0
2019-01-30,11783,0
2019-01-31,11896,0
2019-02-01,11964,0
2019-02-04,12048,0
2019-02-05,12156,0
2019-02-06,12225,0
2019-02-07,12199,0
2019-02-08,12065,0
2019-02-12,12147,0
2019-02-13,12286,0
2019-02-14,12362,0
2019-02-15,12284,0
2019-02-18,12437,0
2019-02-19,12442,0
2019-02-20,12496,0
2019-02-21,12529,0
2019-02-22,12497,0
2019-02-25,12573,0
2019-02-26,12625,0
2019-02-27,12583,0
2019-02-28,12607,0
2019-03-01,12656,0
2019-03-04,12783,0
2019-03-05,12731,0
2019-03-06,12697,0
2019-03-07,12632,0
2019-03-08,12510,0
2019-03-11,12397,0
2019-03-12,12623,0
2019-03-13,12632,0
2019-03-14,12727,0
2019-03-15,12807,0
2019-03-18,12840,0
2019-03-19,12866,0
2019-03-20,12915,0
2019-03-22,12860,0
2019-03-25,12530,0
