date,nav,div
2022-05-20,19470,0
2022-05-23,19463,0
2022-05-24,19839,0
2022-05-25,19543,0
2022-05-26,19809,0
2022-05-27,20127,0
2022-05-30,20626,0
2022-05-31,20819,0
2022-06-01,20808,0
2022-06-02,20832,0
2022-06-03,21183,0
2022-06-06,21000,0
2022-06-07,21290,0
2022-06-08,21585,0
2022-06-09,21617,0
2022-06-10,21067,0
2022-06-13,20573,0
2022-06-14,19649,0
2022-06-15,19711,0
2022-06-16,19895,0
2022-06-17,19094,0
2022-06-20,19424,0
2022-06-21,19418,0
2022-06-22,20083,0
2022-06-23,20014,0
2022-06-24,20061,0
2022-06-27,20581,0
2022-06-28,20652,0
2022-06-29,20335,0
2022-06-30,20403,0
2022-07-01,20125,0
2022-07-04,20186,0
2022-07-05,20359,0
2022-07-06,20328,0
2022-07-07,20429,0
2022-07-08,20764,0
2022-07-11,20810,0
2022-07-12,20686,0
2022-07-13,20463,0
2022-07-14,20517,0
2022-07-15,20598,0
2022-07-19,20714,0
2022-07-20,21273,0
2022-07-21,21452,0
2022-07-22,21483,0
2022-07-25,21172,0
2022-07-26,21175,0
2022-07-27,21013,0
2022-07-28,21450,0
2022-07-29,21444,0
2022-08-01,21476,0
2022-08-02,21088,0
2022-08-03,21406,0
2022-08-04,21728,0
2022-08-05,21608,0
2022-08-08,21951,0
2022-08-09,21851,0
2022-08-10,21818,0
2022-08-12,21950,0
2022-08-15,22277,0
2022-08-16,22402,0
2022-08-17,22636,0
2022-08-18,22575,0
2022-08-19,22865,0
2022-08-22,22712,0
2022-08-23,22250,0
2022-08-24,22140,0
2022-08-25,22213,0
2022-08-26,22490,0
2022-08-29,21983,0
2022-08-30,21875,0
2022-08-31,21643,0
2022-09-01,21617,0
2022-09-02,21773,0
2022-09-05,21580,0
2022-09-06,21568,0
2022-09-07,21917,0
2022-09-08,22531,0
2022-09-09,22575,0
2022-09-12,22765,0
2022-09-13,22961,0
2022-09-14,22268,0
2022-09-15,22171,0
2022-09-16,21887,0
2022-09-20,21903,0
2022-09-21,21724,0
2022-09-22,21470,0
2022-09-26,20852,0
2022-09-27,20707,0
2022-09-28,20695,0
2022-09-29,21046,0
2022-09-30,20671,0
2022-10-03,20372,0
2022-10-04,20874,0
2022-10-05,21400,0
2022-10-06,21463,0
2022-10-07,21286,0
2022-10-11,20656,0
2022-10-12,20581,0
2022-10-13,20618,0
2022-10-14,21225,0
2022-10-17,20892,0
2022-10-18,21482,0
2022-10-19,21778,0
2022-10-20,21743,0
2022-10-21,21611,0
2022-10-24,21943,0
2022-10-25,22206,0
2022-10-26,22444,0
2022-10-27,21957,0
2022-10-28,21911,0
2022-10-31,22694,0
2022-11-01,22603,0
2022-11-02,22338,0
2022-11-04,21655,0
2022-11-07,21762,0
2022-11-08,21899,0
2022-11-09,21909,0
2022-11-10,21546,0
2022-11-11,22035,0
2022-11-14,21884,0
2022-11-15,21820,0
2022-11-16,21879,0
2022-11-17,21696,0
2022-11-18,21751,0
2022-11-21,21866,0
2022-11-22,22052,0
2022-11-24,22036,0
2022-11-25,22013,0
2022-11-28,22005,0
2022-11-29,21636,0
2022-11-30,21596,0
2022-12-01,21983,0
2022-12-02,21730,0
2022-12-05,21566,0
